"Statistic Label","Year","Sex","UNIT","VALUE"
"Underweight","2024","Both sexes","%","1.8"
"Underweight","2024","Male","%","1"
"Underweight","2024","Female","%","2.6"
"Normal Weight","2024","Both sexes","%","39.3"
"Normal Weight","2024","Male","%","34.8"
"Normal Weight","2024","Female","%","43.6"
"Overweight","2024","Both sexes","%","35.1"
"Overweight","2024","Male","%","40.8"
"Overweight","2024","Female","%","29.6"
"Obese","2024","Both sexes","%","23.8"
"Obese","2024","Male","%","23.4"
"Obese","2024","Female","%","24.2"
