"STATISTIC","Statistic Label","TLIST(A1)","Year","C04449V05232","Frequency of consumption","C02076V03371","Age Group","C02199V02655","Sex","C04506V05290","HSE Region","UNIT","VALUE"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","98ca33b4-fc08-4aa7-82dd-496924b8fda8","HSE Dublin and Midlands HR","%","23.7"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","9efd9724-8d32-4bb7-b1d6-08b2f42f68c6","HSE Dublin and North East HR","%","20.1"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","d0a0aa7d-fbed-4f02-b89f-a51cb0ecf23c","HSE Dublin and South East HR","%","19.8"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","c7359538-84af-455a-aa37-f9c43f8850cf","HSE Midwest HR","%","27.5"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","9556ecde-e215-4ad0-9b46-ebff56c85299","HSE South West HR","%","20"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","010e88ab-5f00-4f2c-823c-543ffe62920b","HSE West and North West HR","%","14.5"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","1","Male","IE0","Ireland","%","20.5"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","98ca33b4-fc08-4aa7-82dd-496924b8fda8","HSE Dublin and Midlands HR","%","21.2"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","9efd9724-8d32-4bb7-b1d6-08b2f42f68c6","HSE Dublin and North East HR","%","25.2"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","d0a0aa7d-fbed-4f02-b89f-a51cb0ecf23c","HSE Dublin and South East HR","%","25.7"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","c7359538-84af-455a-aa37-f9c43f8850cf","HSE Midwest HR","%","21.9"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","9556ecde-e215-4ad0-9b46-ebff56c85299","HSE South West HR","%","16.1"
"IHS44C01","Percentage of people who consumed fruit","2025","2025","651","1 to 3 times a week","310","15 - 24 years","2","Female","010e88ab-5f00-4f2c-823c-543ffe62920b","HSE West and North West HR","%","17.8"
