approval_number,establishment_name,address,county,country,source
2049,ABP Ireland UC T/A Functional Ingredients Ireland,"Cahir, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
71,Americold Castleblayney Limited,"Castleblayney, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
75,Americold Lough Egish Limited,"Castleblayney, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2067,Americold Dublin Limited,"St Margaret's, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2950,Andarl Farm Ltd,"Castlebar, Mayo",Mayo,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
12,Anglo Beef Processors Ireland UC T/A ABP Abbey Road,"Cahir, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
351,Anglo Beef Processors Ireland UC T/A ABP Bandon,"Bandon, Cork",Cork,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
300,Anglo Beef Processors Ireland UC T/A ABP Cahir,"Cahir, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
378,Anglo Beef Processors Ireland UC T/A ABP Clones,"Clones, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
290,Anglo Beef Processors Ireland UC T/A ABP Nenagh,"Nenagh, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
354,Anglo Beef Processors Ireland UC T/A ABP Rathkeale,"Rathkeale, Limerick",Limerick,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
344,Anglo Beef Processors Ireland UC T/A ABP Waterford,"Waterford, Waterford",Waterford,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
296,Anglo Beef Processors Ireland UC T/A ABP Slaney,"Bunclody, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
363,Anglo Beef Processors Ireland UC T/A Irish Country Meats Navan,"Navan, Meath",Meath,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
367,Anglo Beef Processors Ireland UC T/A Irish Country Meats Camolin,"Camolin, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
612,Ardlawn Meats,"Carlingford, Louth",Louth,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
406,Arthur Mallon Foods Ltd,"Monaghan, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2062,Aryzta Food Solutions UC,"Clondalkin, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
600,ASBA Meats Ltd,"Ennis, Clare",Clare,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
512,Ashbourne Meat Processors,"Naas, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
382,Ashbourne Meats Roscrea UC,"Roscrea, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
395,Ballaghadereen Bacon Factory Ltd,"Ballaghdereen, Roscommon",Roscommon,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
792,Ballineen Fine Foods Ltd,"Bandon, Cork",Cork,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
392,Ballon Meats Ltd,"Ballon, Carlow",Carlow,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
550,Ballyboden Ltd T/A Glenside Bacon Company,"Glenties, Donegal",Donegal,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2967,Ballymooney Foods Limited,"Clane, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
789,Birds Eye Ireland Limited,"Longford, Longford",Longford,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2008,Birds Eye Ireland Limited,"Naas, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2051,Bond Freeze Ltd,"Bond Road, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2012,Boyne Valley Meats Ltd,"Garristown, Meath",Meath,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2016,Bralca Cold Stores Ltd,"Newbridge, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
604,C & J Meats Ireland,"Lifford, Donegal",Donegal,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
70,C & M Coldstores Ltd,"Carrickmacross, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
2061,C & M Coldstores (Shercock) Ltd,"Carrickmacross, Monaghan",Monaghan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
528,Callan Bacon Company Ltd,"Callan, Kilkenny",Kilkenny,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
741,Carroll Cuisine UC,"Tullamore, Offaly",Offaly,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
803,Carton Brothers T/A Manor Farm,"Shercock, Cavan",Cavan,Ireland,dafm:AllApprovedPlants_2026_4.xlsx
