osm_id,name,category,subcategory,lat,lon,admin_division
n133511176,Domino's,fast_food,amenity=fast_food,53.3776795,-6.3772169,
n263367701,Roma Takeaway,fast_food,amenity=fast_food,53.3477773,-6.4223509,Lucan
n263367917,Regal Fare,fast_food,amenity=fast_food,53.3475319,-6.4220274,
n279912237,Burger King,fast_food,amenity=fast_food,53.3505366,-6.2601744,Dublin
n281260257,McDonald's,fast_food,amenity=fast_food,53.3614673,-6.2986591,
n311197860,Bernardos,fast_food,amenity=fast_food,53.2307131,-6.1242145,
n311991924,Diep At Home,fast_food,amenity=fast_food,53.3253828,-6.2548022,Dublin
n325762136,Roma,fast_food,amenity=fast_food,53.3558553,-6.3706985,
n335556524,Red Chilli Chinese Takeaway,fast_food,amenity=fast_food,53.3397338,-6.3145209,Dublin
n337982102,Toni's,fast_food,amenity=fast_food,53.3405884,-6.3141848,
n373218904,Newland,fast_food,amenity=fast_food,53.3408492,-6.3075146,
n387490777,McDonald's,fast_food,amenity=fast_food,53.4566162,-6.2209517,Swords
n387501657,Quack'n Wok,fast_food,amenity=fast_food,53.3494051,-6.244311,
n434153460,Leo Burdock's,fast_food,amenity=fast_food,53.3430266,-6.2699751,Dublin
n444529270,Dora's Take Away,fast_food,amenity=fast_food,53.4708526,-6.2312092,
n444539821,Taste One Street Food,fast_food,amenity=fast_food,53.4713419,-6.2325276,
n445514366,Four Star Pizza,fast_food,amenity=fast_food,53.2763733,-6.2235693,
n447882302,Lynch's Chips,fast_food,amenity=fast_food,53.3709176,-6.2048144,
n456995791,Angelo's,fast_food,amenity=fast_food,53.4554935,-6.1803725,Malahide
n458220908,Cinelli's,fast_food,amenity=fast_food,53.2815695,-6.3404763,
n458220911,Coletti's,fast_food,amenity=fast_food,53.2811984,-6.3413936,
n470326926,Burger King,fast_food,amenity=fast_food,53.3508005,-6.2648971,
n470326932,McDonald's,fast_food,amenity=fast_food,53.3509526,-6.2644416,Dublin
n470374171,The Grind,fast_food,amenity=fast_food,53.3083073,-6.2269789,
n474736526,De Luxe,fast_food,amenity=fast_food,53.2623215,-6.1619104,
n476814651,Romayo's Diner,fast_food,amenity=fast_food,53.3869841,-6.3772661,
n479092665,Eddie Rocket's,fast_food,amenity=fast_food,53.3221778,-6.2375379,Dublin
n479092701,Romayo's,fast_food,amenity=fast_food,53.3225075,-6.2371737,Donnybrook
n479100377,Zaytoon,fast_food,amenity=fast_food,53.3448869,-6.2673339,Dublin
n482102109,Apache Pizza,fast_food,amenity=fast_food,53.3855662,-6.1406286,Sutton
n482112961,Di Angelos,fast_food,amenity=fast_food,53.3888404,-6.1674506,
n482469178,Rathbeale Takeaway,fast_food,amenity=fast_food,53.4619382,-6.2312842,
n486686657,Gino's Take Away,fast_food,amenity=fast_food,53.5254376,-6.1645445,Lusk
n504983495,Chipper,fast_food,amenity=fast_food,53.2765478,-6.2241272,
n506822875,East End,fast_food,amenity=fast_food,53.3588336,-6.4463395,
n506823994,China Town,fast_food,amenity=fast_food,53.3563147,-6.4484966,
n506824123,Rapeedo's,fast_food,amenity=fast_food,53.356332,-6.449529,
n508503173,Domino's,fast_food,amenity=fast_food,53.3956352,-6.4398015,
n508503555,Apache Pizza,fast_food,amenity=fast_food,53.3888647,-6.3894828,
n512550966,Four Star Pizza,fast_food,amenity=fast_food,53.340775,-6.3079219,
n528235795,Domino's,fast_food,amenity=fast_food,53.3528127,-6.4599892,
n528235829,McDonald's,fast_food,amenity=fast_food,53.3486952,-6.4529661,
n543384723,Ranelagh Take Away,fast_food,amenity=fast_food,53.3251131,-6.2556068,Dublin
n549665009,Eddie Rocket's,fast_food,amenity=fast_food,53.344278,-6.266599,Dublin
n559854616,Charlie's Malay & Chinese Cafe,fast_food,amenity=fast_food,53.3435547,-6.2642498,Dublin
n560079327,RongCheng,fast_food,amenity=fast_food,53.3331323,-6.2436143,Dublin
n560623703,Deli Burger,fast_food,amenity=fast_food,53.6098712,-6.1834444,
n563321029,McDonald's,fast_food,amenity=fast_food,53.3236155,-6.2652982,
n564076277,Rasoi,fast_food,amenity=fast_food,53.3253274,-6.2553632,Dublin
n564118853,Emerald Court,fast_food,amenity=fast_food,53.3258464,-6.2557084,Dublin
n564453091,Green Italia,fast_food,amenity=fast_food,53.3208079,-6.2656197,Dublin
n564926477,Apache,fast_food,amenity=fast_food,53.3162668,-6.2654202,Dublin
n567747851,Charlie's II Oriental Express,fast_food,amenity=fast_food,53.3451234,-6.2656467,Dublin
n576619738,Four Star Pizza,fast_food,amenity=fast_food,53.3302743,-6.2320835,Dublin
n582827239,McDonald's,fast_food,amenity=fast_food,53.2895286,-6.1996251,
n593844524,Shovelhead Pizza,fast_food,amenity=fast_food,53.2950808,-6.1482889,Dún Laoghaire
n598552825,Bombay Pantry,fast_food,amenity=fast_food,53.2794745,-6.1346085,Dún Laoghaire
n598552828,Domino's,fast_food,amenity=fast_food,53.2793365,-6.1351109,Dún Laoghaire
n600915451,Amber Grill,fast_food,amenity=fast_food,53.3359987,-6.2982488,
n612932047,Pinhead's Pizza,fast_food,amenity=fast_food,53.3323276,-6.2746157,Dublin
n612932048,Vico's,fast_food,amenity=fast_food,53.3323159,-6.2745379,Dublin
n633771928,O'Briens Sandwich Cafe,fast_food,amenity=fast_food,53.3483089,-6.4525219,Lucan
n637038771,Apache Pizza,fast_food,amenity=fast_food,53.3431333,-6.2431773,Dublin
n646594929,Subway,fast_food,amenity=fast_food,53.244019,-6.1388273,
n646867085,Four Star Pizza,fast_food,amenity=fast_food,53.3240898,-6.2516494,Dublin
n646873523,Eddie Rocket's,fast_food,amenity=fast_food,53.3365837,-6.2653342,Dublin
n648065926,Kingsland Chef,fast_food,amenity=fast_food,53.2867551,-6.1219695,
n648157543,Three Chips,fast_food,amenity=fast_food,53.277662,-6.1046906,Dalkey
n651346622,Castleknock Kitchen,fast_food,amenity=fast_food,53.3776503,-6.3773135,
n654055352,Canton House,fast_food,amenity=fast_food,53.3398195,-6.2232104,
n656469236,Golden Valley Chinese Take Away,fast_food,amenity=fast_food,53.2816501,-6.4652002,
n658492172,Burger King,fast_food,amenity=fast_food,53.2918141,-6.135217,Dún Laoghaire
n658492282,Four Star Pizza,fast_food,amenity=fast_food,53.2899723,-6.1309232,Dún Laoghaire
n658492368,Legends of Dun Laoghaire,fast_food,amenity=fast_food,53.2895689,-6.1299811,Dún Laoghaire
n658999921,Giulios Take Away,fast_food,amenity=fast_food,53.4028383,-6.3976574,
n660459824,C. Aprile,fast_food,amenity=fast_food,53.2884445,-6.1994632,
n660463967,Marvelot,fast_food,amenity=fast_food,53.2886273,-6.1979506,Stillorgan
n660463972,Eskimo Pizza,fast_food,amenity=fast_food,53.2884812,-6.1975396,Stillorgan
n662938519,Eddie Rocket's,fast_food,amenity=fast_food,53.3014063,-6.1772275,Blackrock
n662938584,Supermac's,fast_food,amenity=fast_food,53.3014922,-6.1773813,Blackrock
n662970903,Central,fast_food,amenity=fast_food,53.3009645,-6.1768905,
n664810672,the point,fast_food,amenity=fast_food,53.3593978,-6.2591066,
n665822808,Mizzoni's Pizza & Pasta Co.,fast_food,amenity=fast_food,53.3228163,-6.2794292,
n667886884,San Siro,fast_food,amenity=fast_food,53.275221,-6.1378621,Sallynoggin
n676841912,Burger King,fast_food,amenity=fast_food,53.3920426,-6.3911889,
n676841913,McDonald's,fast_food,amenity=fast_food,53.3918123,-6.3907973,
n676841915,Eddie Rocket's,fast_food,amenity=fast_food,53.3920426,-6.3913552,Blanchardstown
n676841916,Subway,fast_food,amenity=fast_food,53.3920926,-6.3919195,
n681434277,McDonald's,fast_food,amenity=fast_food,53.3532119,-6.3904243,
n681434278,KFC,fast_food,amenity=fast_food,53.3532528,-6.3904803,
n681434971,Burger King,fast_food,amenity=fast_food,53.3531352,-6.3908998,
n681441734,,fast_food,amenity=fast_food,53.3532441,-6.3910393,
n681446644,Eddie Rocket's,fast_food,amenity=fast_food,53.35255,-6.3925699,
n683113608,Yumi Chinese Takeaway,fast_food,amenity=fast_food,53.3051091,-6.2371433,
n683113613,HX46,fast_food,amenity=fast_food,53.2973562,-6.2333788,
n683132038,Sunkist Chinese Takeaway,fast_food,amenity=fast_food,53.3140037,-6.2382378,
n683132049,San Marino,fast_food,amenity=fast_food,53.3022382,-6.2448688,
n689479298,Donabate Chinese Takeaway,fast_food,amenity=fast_food,53.4871964,-6.148192,Donabate
n689479334,New Indian Dinner & Pizza Express Delivery,fast_food,amenity=fast_food,53.4870571,-6.1485989,Donabate
n727290291,Apache Tallaght,fast_food,amenity=fast_food,53.2760478,-6.3539013,
n736884206,Four Star Pizza,fast_food,amenity=fast_food,53.3836566,-6.3822588,
n739756785,Sprout,fast_food,amenity=fast_food,53.3349338,-6.2649559,Dublin
n739980983,Macari's,fast_food,amenity=fast_food,53.4018317,-6.296944,Dublin
n760422942,Hong Kong Kitchen,fast_food,amenity=fast_food,53.2878976,-6.2566656,
