osm_id,name,category,subcategory,lat,lon,admin_division
n138099058,SuperValu,supermarket,shop=supermarket,53.4199794,-6.3820549,Tyrrelstown
n187768500,Tesco,supermarket,shop=supermarket,53.4009558,-6.1796922,Dublin
n249338235,SuperValu,supermarket,shop=supermarket,53.3861819,-6.3788096,Blanchardstown
n259770616,Straney's Newsagent,supermarket,shop=convenience,53.3007671,-6.1890586,
n263367123,Eurospar,supermarket,shop=supermarket,53.3476135,-6.4219985,Lucan
n278011396,Wrights Food Fayre,supermarket,shop=convenience,53.4279138,-6.2428203,Dublin
n281174255,Fresh,supermarket,shop=supermarket,53.3432408,-6.2388322,Dublin
n281174464,Centra,supermarket,shop=supermarket,53.3432637,-6.2441791,Dublin
n291594604,Eurospar,supermarket,shop=supermarket,53.3402787,-6.2362398,Dublin
n293524418,Spar,supermarket,shop=convenience,53.2747352,-6.3450534,
n296449236,SuperValu,supermarket,shop=supermarket,53.4466521,-6.2380816,Swords
n296511406,Eurospar,supermarket,shop=supermarket,53.4709682,-6.2315978,Swords
n297812081,Spar,supermarket,shop=convenience,53.3931343,-6.3676759,
n305313396,The Bakery,supermarket,shop=bakery,53.3446102,-6.2686326,Dublin
n308961349,Spar,supermarket,shop=convenience,53.3491387,-6.2317518,
n311100348,Spar,supermarket,shop=convenience,53.3472105,-6.2632578,Dublin
n311194971,Centra,supermarket,shop=convenience,53.2366657,-6.1190095,Shankill
n311195236,Tesco Express,supermarket,shop=convenience,53.2314532,-6.1237863,
n311197910,Spar,supermarket,shop=convenience,53.2307975,-6.1242058,
n311343801,M&S Foodhall,supermarket,shop=supermarket,53.3484361,-6.2643181,Dublin
n311344008,Tesco,supermarket,shop=supermarket,53.3480715,-6.265225,Dublin
n311990080,Spar,supermarket,shop=convenience,53.3253867,-6.2553078,Dublin
n312568603,Tesco Express,supermarket,shop=convenience,53.3412034,-6.2261202,Dublin
n312577430,Spar,supermarket,shop=convenience,53.3291601,-6.2307087,Dublin
n322703289,Circle K,supermarket,shop=convenience,53.2701805,-6.1413906,
n325762143,Londis,supermarket,shop=convenience,53.3556479,-6.3709617,
n325783580,Tesco,supermarket,shop=supermarket,53.3561587,-6.2867075,Dublin
n335579068,Centra,supermarket,shop=convenience,53.280383,-6.444838,Saggart
n335980360,Eurospar,supermarket,shop=supermarket,53.3392362,-6.3199786,Dublin
n369367336,Spar,supermarket,shop=convenience,53.331687,-6.27892,
n369367922,Spar,supermarket,shop=convenience,53.3322445,-6.2692153,Dublin
n369368754,Centra,supermarket,shop=convenience,53.3360471,-6.2984584,Dublin
n369369673,Spar,supermarket,shop=convenience,53.3424908,-6.2942122,Dublin
n370206890,Centra,supermarket,shop=convenience,53.3855187,-6.0652007,Howth
n370213860,Fresh,supermarket,shop=supermarket,53.3492933,-6.2783922,Dublin
n410715220,Nolan's,supermarket,shop=supermarket,53.3615992,-6.1946941,
n434379754,Tesco Metro,supermarket,shop=supermarket,53.3515645,-6.2638088,Dublin
n434379755,Lidl,supermarket,shop=supermarket,53.3510902,-6.2632744,Dublin
n445513246,Londis,supermarket,shop=convenience,53.2769122,-6.2183033,
