osm_id,name,category,subcategory,lat,lon,admin_division
n429383562,Cow's Lane Market,local_market,amenity=marketplace,53.3443999,-6.2690574,
n1425999496,Blackrock Market,local_market,amenity=marketplace,53.3012938,-6.1777163,Blackrock
n1473502334,The Liberty market,local_market,amenity=marketplace,53.3411716,-6.2785265,
n2965816359,Moore Street,local_market,amenity=marketplace,53.3505835,-6.2628414,
n2965816360,Moore Street Mall,local_market,amenity=marketplace,53.3510977,-6.2631738,
n2989909982,Ranelagh Village Market,local_market,amenity=marketplace,53.3261872,-6.2549512,
n3077161517,George's Street Arcade,local_market,amenity=marketplace,53.3425764,-6.2641919,Dublin
n3077183783,Ha Penny Flea Market,local_market,amenity=marketplace,53.3468862,-6.2635577,Dublin
n3077277599,Flea Market,local_market,amenity=marketplace,53.345514,-6.2632359,Dublin
n3720052965,The People's Park Market,local_market,amenity=marketplace,53.2898487,-6.1286043,
n4298878191,Blackrock Food Market,local_market,amenity=marketplace,53.3019472,-6.1795984,
n5940656545,,local_market,amenity=marketplace,53.3264035,-6.2945192,
n9088743167,Books and Browsables Market,local_market,amenity=marketplace,53.339999,-6.2717289,
n11795219684,Glasnevin Market,local_market,amenity=marketplace,53.3734871,-6.292529,
n12627550495,Skerries Organic Farm,local_market,shop=farm,53.5803125,-6.1561225,
n13573035890,Priory Market,local_market,amenity=marketplace,53.2875686,-6.3517906,
w39700669,,local_market,landuse=farmyard,53.3050851,-6.4817661,
w46829486,,local_market,landuse=farmyard,53.4104327,-6.1478455,
w49863735,,local_market,landuse=farmyard,53.4894486,-6.2146211,
w50003584,,local_market,landuse=farmyard,53.5555075,-6.2569083,
w52356644,,local_market,landuse=farmyard,53.4340531,-6.1666565,
w54107595,,local_market,landuse=farmyard,53.3149965,-6.3802478,
w58557301,,local_market,landuse=farmyard,53.454009,-6.1988376,
w58557310,,local_market,landuse=farmyard,53.4616962,-6.2025275,
w60889926,Knocklynn Farm,local_market,landuse=farmyard,53.2081321,-6.1461649,
w60889941,,local_market,landuse=farmyard,53.2075389,-6.151514,
