osm_id,name,category,subcategory,lat,lon,admin_division
n59998053,,waste,amenity=recycling,53.296868,-6.3259694,
n108004939,,waste,amenity=recycling,53.3109183,-6.3229483,
n282916315,,waste,amenity=recycling,53.2760883,-6.3408955,
n282961930,,waste,amenity=recycling,53.2982351,-6.2967209,
n311344608,,waste,amenity=recycling,53.2365743,-6.1179956,
n334615369,,waste,amenity=recycling,53.4679917,-6.22119,
n334615373,,waste,amenity=recycling,53.4607426,-6.2029554,
n365175247,,waste,amenity=recycling,53.4633558,-6.3444981,
n367408087,,waste,amenity=recycling,53.3364193,-6.2779631,
n367654050,,waste,amenity=recycling,53.2777958,-6.3590127,
n375783909,,waste,amenity=recycling,53.4498659,-6.1387628,
n388505449,,waste,amenity=recycling,53.4489391,-6.2208203,
n388507635,,waste,amenity=recycling,53.4600471,-6.2455065,
n388508639,,waste,amenity=recycling,53.4663195,-6.2128373,
n388513177,,waste,amenity=recycling,53.4394575,-6.2503006,
n388514961,,waste,amenity=recycling,53.422368,-6.2287119,
n388519573,,waste,amenity=recycling,53.439805,-6.1496577,
n388523662,,waste,amenity=recycling,53.4229171,-6.18702,
n388540789,,waste,amenity=recycling,53.4092461,-6.1742406,
n388540820,,waste,amenity=recycling,53.4107037,-6.1837732,
n388541009,,waste,amenity=recycling,53.3967289,-6.1486108,
n388541010,,waste,amenity=recycling,53.3926798,-6.1534405,
n388550064,,waste,amenity=recycling,53.3902681,-6.1093507,
n388550067,,waste,amenity=recycling,53.3891201,-6.1073784,
n388551056,,waste,amenity=recycling,53.3800042,-6.093685,
n388552424,,waste,amenity=recycling,53.369357,-6.0604132,
n388552425,,waste,amenity=recycling,53.3728185,-6.0576366,
n388554000,,waste,amenity=recycling,53.3881087,-6.0661154,
n388557164,,waste,amenity=recycling,53.4162938,-6.127875,
n388558221,,waste,amenity=recycling,53.4300755,-6.1255518,
n388561351,,waste,amenity=recycling,53.439756,-6.1665286,
n390289054,,waste,amenity=recycling,53.4917446,-6.2989228,
n390289070,,waste,amenity=recycling,53.5243008,-6.3154857,
n390289072,,waste,amenity=recycling,53.5222776,-6.2669952,
n390289073,,waste,amenity=recycling,53.5678386,-6.3835116,
n390304371,,waste,amenity=recycling,53.585819,-6.2906547,
n390304479,,waste,amenity=recycling,53.5871873,-6.1886597,
n411822908,,waste,amenity=recycling,53.36132,-6.2992449,
n444648636,,waste,amenity=recycling,53.4170484,-6.4176191,
n447824516,,waste,amenity=recycling,53.3699729,-6.2061598,
n453143014,Goatstown Goat Grill Pub,waste,amenity=recycling,53.2920449,-6.2297231,
n471861767,,waste,amenity=recycling,53.3477042,-6.2921402,
