osm_id,name,category,subcategory,lat,lon,admin_division
w3796935,Liffey,water,waterway=river,53.3457454,-6.3320805,
w3796937,Liffey,water,waterway=river,53.348917,-6.3463299,
w3797126,Liffey,water,waterway=river,53.3613633,-6.3875751,
w3807687,Liffey,water,waterway=river,53.3573173,-6.4578667,
w4290334,Liffey,water,waterway=river,53.3680336,-6.4309316,
w4403875,,water,waterway=canal,53.3826656,-6.3627353,
w4403888,Royal Canal,water,waterway=canal,53.3817072,-6.3572717,
w4408412,10th Lock,water,waterway=canal,53.3754721,-6.3335652,
w4413866,Grand Canal,water,waterway=canal,53.3354201,-6.3023683,
w4417545,Royal Canal,water,waterway=canal,53.3573955,-6.2459007,
w4886700,Dodder,water,waterway=river,53.3259126,-6.2321043,
w4896092,Bohernabreena Reservoir Upper,water,natural=water,53.232863,-6.356583,
w4896093,Bohernabreena Reservoir Lower,water,natural=water,53.2445549,-6.3679943,
w4896094,Brittas Lake,water,natural=water,53.2427147,-6.4537285,
w6188246,Dodder,water,waterway=river,53.3104365,-6.2477241,
w6188248,Dodder,water,waterway=river,53.3049726,-6.2766072,
w6188672,Dodder,water,waterway=river,53.294497,-6.310437,
w7770197,,water,natural=water,53.3032785,-6.3400261,
w7770198,,water,natural=water,53.3036785,-6.3386353,
w7843136,,water,natural=water,53.2957038,-6.3269966,
w8584398,Wyckham Stream,water,waterway=stream,53.282578,-6.250136,
w8584404,Tolka,water,waterway=river,53.3852787,-6.3605081,
w10512303,Poddle,water,waterway=stream,53.3030478,-6.339188,
w10512306,Poddle,water,waterway=stream,53.3016358,-6.342035,
w10513599,Poddle,water,waterway=stream,53.305712,-6.3180849,
w12341795,George's Dock,water,natural=water,53.3486898,-6.2490999,
w14515478,Tolka,water,waterway=river,53.396227,-6.386931,
w18179106,Broadmeadow Water,water,waterway=river,53.4708074,-6.2116093,
w18179107,Broadmeadow Water,water,waterway=river,53.4698009,-6.2106215,
w18728400,Tolka,water,waterway=river,53.3986156,-6.389627,
w18728402,Tolka,water,waterway=river,53.3978214,-6.3888147,
w19352676,Carysfort-Maretimo Stream,water,waterway=stream,53.2964596,-6.1769077,
w22375764,Wyckham Stream,water,waterway=stream,53.2825658,-6.2627277,
w22375765,Little Dargle,water,waterway=stream,53.2777407,-6.2672566,
w22375787,Slang,water,waterway=stream,53.286822,-6.2418319,
w22747805,Tolka,water,waterway=river,53.3883133,-6.3746792,
w22747806,Tolka,water,waterway=river,53.3882432,-6.3732897,
w22747807,Tolka,water,waterway=river,53.3905287,-6.378898,
w22747808,Tolka,water,waterway=river,53.3893152,-6.3785345,
w22747811,Tolka,water,waterway=river,53.3913255,-6.3791982,
