osm_id,name,category,subcategory,lat,lon,admin_division
n278555542,Supermac's,fast_food,amenity=fast_food,53.198667,-8.5684184,
n568036454,Domino's,fast_food,amenity=fast_food,53.2732424,-8.9290597,Oranmore
n861311201,Martino's Takeaway,fast_food,amenity=fast_food,53.6179662,-8.7435869,
n918897050,Supermac's,fast_food,amenity=fast_food,53.2759995,-9.0633158,Galway
n943642909,Supermac's,fast_food,amenity=fast_food,53.0661098,-8.8183027,
n1127138177,Mother Hubbards,fast_food,amenity=fast_food,53.2084579,-8.8684844,
n1156287196,Shake Dog,fast_food,amenity=fast_food,53.2819393,-9.0317678,Galway
n1164405213,Oriental Takeaway,fast_food,amenity=fast_food,53.2084825,-8.8687002,
n1171408162,Zambrero,fast_food,amenity=fast_food,53.2797235,-9.0488373,Galway
n1211156946,Supermac's,fast_food,amenity=fast_food,53.3307483,-8.2200029,
n1214317794,Good Taste,fast_food,amenity=fast_food,53.3300143,-8.2218786,Ballinasloe
n1257141959,Spring Garden,fast_food,amenity=fast_food,53.1996536,-8.574151,
n1469221582,Woozza,fast_food,amenity=fast_food,53.2697124,-9.0608483,
n1469801988,Lil' Bros Pizza,fast_food,amenity=fast_food,53.2743664,-9.0503113,Galway
n1556829514,Mc Donagh's,fast_food,amenity=fast_food,53.2709311,-9.0543578,Galway
n1589666865,Pizza Napoli,fast_food,amenity=fast_food,53.2714504,-9.054085,Galway
n1645056784,Subway,fast_food,amenity=fast_food,53.1992483,-8.5658713,
n1727006536,Eddie's Take Away and Diner,fast_food,amenity=fast_food,53.2743747,-8.9992254,
n1730937288,Apache Pizza,fast_food,amenity=fast_food,53.285796,-9.0117896,Galway
n1732295186,Supermac's,fast_food,amenity=fast_food,53.2760507,-9.0036586,
n1734456116,Supermac's,fast_food,amenity=fast_food,53.291892,-9.0193578,
n1743423046,Supermac's,fast_food,amenity=fast_food,53.2747052,-9.0508365,
n1743429523,Capital Turkish Kebabs,fast_food,amenity=fast_food,53.274757,-9.0525511,Galway
n1747227196,Subway,fast_food,amenity=fast_food,53.2844087,-9.0353708,Galway
