osm_id,name,category,subcategory,lat,lon,admin_division
n281089396,Day-Today,supermarket,shop=convenience,53.2887578,-9.0662609,
n281097610,Centra,supermarket,shop=convenience,53.2813182,-9.0649616,Galway
n288761601,Lidl,supermarket,shop=supermarket,53.2785616,-9.0495215,Galway
n366930972,Tesco,supermarket,shop=supermarket,53.2935411,-8.7504485,
n387542980,,supermarket,shop=butcher,53.1199942,-9.6716944,
n568036487,SuperValu,supermarket,shop=supermarket,53.2732383,-8.9295314,Oranmore
n620827455,,supermarket,shop=convenience,52.9854413,-8.3727555,
n659793145,Letterfrack Country Shop,supermarket,shop=convenience,53.5531236,-9.9496059,
n840275976,Lowry's,supermarket,shop=convenience,53.5143056,-9.4487626,
n850273599,Centra,supermarket,shop=supermarket,53.2896162,-9.6546947,Lettermore
n850273689,,supermarket,shop=convenience,53.2891264,-9.666549,
n861311285,Eurospar,supermarket,shop=supermarket,53.6186161,-8.7414957,Dunmore
n919637087,Londis,supermarket,shop=convenience,53.2762411,-9.0633462,Galway
n919678086,Geraghty's,supermarket,shop=convenience,53.3246688,-9.8375675,
n919956771,Student's Union Shop,supermarket,shop=convenience,53.2797126,-9.0612508,
n921361578,Dunnes Stores,supermarket,shop=supermarket,53.2906274,-8.987576,Galway
n925970967,Bridge Stores,supermarket,shop=convenience,53.2717265,-9.0554249,Galway
n941808281,Aldi,supermarket,shop=supermarket,53.0911751,-8.2298862,
n947390568,Lidl,supermarket,shop=supermarket,53.2642986,-8.926085,Oranmore
n967331497,Londis,supermarket,shop=convenience,53.303621,-8.7493304,
n1084485625,Costcutter,supermarket,shop=convenience,53.2411568,-9.5023439,
n1121993461,Castlelawn Heights,supermarket,shop=convenience,53.2872005,-9.0476066,Galway
n1171456407,Polonez,supermarket,shop=convenience,53.2860899,-9.0331755,Galway
n1172922374,Tesco,supermarket,shop=supermarket,53.2697039,-8.9307384,Oranmore
n1173359642,Spar,supermarket,shop=convenience,53.2981492,-8.9871072,
n1209427316,Holmes Day-Today,supermarket,shop=convenience,53.5225085,-8.3261588,
n1209487024,Cunningham's General Merchants,supermarket,shop=convenience,53.5084223,-8.4296325,
n1209723170,Londis,supermarket,shop=supermarket,53.1989988,-8.5731508,
n1257321230,Hopes Bakery & Coffee Shop,supermarket,shop=bakery,53.1987129,-8.5678255,
n1257321515,Pat Loughnane & Sons,supermarket,shop=butcher,53.1987476,-8.5675052,
n1257321587,Donlon's Fruit & Veg,supermarket,shop=greengrocer,53.1987677,-8.5672785,
n1259952884,Q&R,supermarket,shop=convenience,53.0527117,-8.3999825,
n1315103190,,supermarket,shop=convenience,53.067871,-8.8197413,
n1315965304,Centra,supermarket,shop=convenience,53.4284677,-9.3191566,
n1403172186,Mace,supermarket,shop=convenience,53.4311879,-10.0756324,Clifden
n1447469530,Tesco Express,supermarket,shop=convenience,53.2768249,-9.0633345,Galway
n1469221572,Ernie's,supermarket,shop=greengrocer,53.2697612,-9.0607236,
n1469221583,Farraghers Nearbuy,supermarket,shop=convenience,53.2697599,-9.0603497,
n1469801989,Gala,supermarket,shop=convenience,53.275245,-9.0487327,Galway
n1574591008,Spar,supermarket,shop=convenience,53.4211291,-8.5722449,
n1575735462,Mace,supermarket,shop=convenience,53.3050079,-8.9309203,
n1576401926,Xentro,supermarket,shop=convenience,53.3399228,-8.7972802,
n1595768132,Tesco,supermarket,shop=supermarket,53.2673143,-9.0606884,Galway
n1597134379,Spar,supermarket,shop=convenience,53.2625037,-8.9335521,Oranmore
n1601684103,Ballindooley Stores,supermarket,shop=convenience,53.3136599,-9.0227381,
n1601684118,XL,supermarket,shop=convenience,53.3752324,-9.016371,Cloonboo
n1601723622,Spar,supermarket,shop=convenience,53.397337,-8.9918042,Corrandulla
n1601728642,Keadys Supermarket,supermarket,shop=supermarket,53.4697868,-9.1007527,
n1604412708,Tesco,supermarket,shop=supermarket,53.5156634,-8.8550295,
n1641346260,Tesco Express,supermarket,shop=convenience,53.2856464,-8.9833746,Galway
n1716852138,Limeleaf XL,supermarket,shop=convenience,53.2727526,-9.0157978,
n1717791278,4 Seasons,supermarket,shop=convenience,53.2741623,-9.0091679,
n1728439947,Londis,supermarket,shop=convenience,53.2803899,-9.0265011,
n1729163821,Herterich's Pork Butchers,supermarket,shop=butcher,53.272913,-9.0543317,Galway
n1729288376,Tesco,supermarket,shop=supermarket,53.2854551,-9.0122536,Galway
n1730948453,Londis,supermarket,shop=convenience,53.2856418,-9.0173447,
n1730948455,McGraths Butcher,supermarket,shop=butcher,53.2854606,-9.0177268,
n1731023600,Morton's,supermarket,shop=supermarket,53.2633489,-9.072524,
n1732295108,Merlin Stores,supermarket,shop=convenience,53.2760808,-9.0037814,
n1732368908,SuperValu,supermarket,shop=supermarket,53.3690376,-8.8926032,Lackagh
n1734343010,Abbastanza,supermarket,shop=convenience,53.2917317,-9.0158182,
n1736584768,Cappagh Stores,supermarket,shop=convenience,53.2621512,-9.1245628,Galway
n1743355866,Clybaun Stores,supermarket,shop=convenience,53.2676636,-9.1063447,Galway
n1743517632,Hollands Newsagents,supermarket,shop=convenience,53.2742768,-9.0508896,Galway
n1749530467,,supermarket,shop=convenience,53.595662,-9.694283,Leenaun
n1751640040,Hollands of Salthill,supermarket,shop=convenience,53.2619005,-9.0801395,
n1760050062,Centra,supermarket,shop=convenience,53.260018,-9.0761658,Galway
n1789914261,Hamilton Grocery,supermarket,shop=supermarket,53.5956377,-9.6951718,
n1809978654,Mannion's Butcher,supermarket,shop=butcher,53.4877315,-10.0209313,
n1809978666,Walsh's Bakery & Coffee Shop,supermarket,shop=bakery,53.4875975,-10.0214583,
n1813912954,Hannon's,supermarket,shop=convenience,53.6179473,-8.7447361,
n1813929455,Mark's Meats,supermarket,shop=butcher,53.6177753,-8.7441661,
n1824115600,Taylor's,supermarket,shop=convenience,53.1567341,-8.8064552,
n1861529058,McCambridges,supermarket,shop=convenience,53.273015,-9.0523738,Galway
n1861546815,Spar,supermarket,shop=convenience,53.2721072,-9.054306,Galway
n1864613705,Joyce's Post Office,supermarket,shop=convenience,53.4671423,-9.7387124,
n1865492115,Orlik - Polski Sklep,supermarket,shop=convenience,53.2631952,-9.1026015,Galway
n1865541425,BakeBox,supermarket,shop=bakery,53.272323,-9.0508482,Galway
n1865556934,Woodquay Stores,supermarket,shop=convenience,53.2762209,-9.0524719,Galway
n1865573303,O'Connors,supermarket,shop=bakery,53.2751782,-9.0533953,Galway
n1867159640,Gala,supermarket,shop=convenience,53.2825032,-9.0026367,
n1868768712,Spar,supermarket,shop=convenience,53.2443046,-9.3059802,
n1878571003,King's Store,supermarket,shop=convenience,53.6058847,-9.8900018,
n1880091971,Foodstore,supermarket,shop=convenience,53.4295932,-8.475853,
n1881372298,Centra,supermarket,shop=convenience,53.2274089,-8.8807239,Clarinbridge
n1983182218,SuperValu,supermarket,shop=supermarket,53.3405705,-8.9468722,Claregalway
n1986137184,Coynes Foodmarket,supermarket,shop=convenience,53.2903738,-8.9887988,
n1986137194,Polski Skelp,supermarket,shop=convenience,53.2859273,-8.9836965,
n1986317557,Spar,supermarket,shop=convenience,53.2765618,-8.9747753,
n1987207110,Carraun Foodstore,supermarket,shop=convenience,53.3571497,-8.9034396,
n1987818028,Tesco Express,supermarket,shop=convenience,53.2937342,-9.037402,Galway
n1988551952,McGanns XL Stop & Shop,supermarket,shop=convenience,53.317658,-8.6106613,
n1988607500,Cookes,supermarket,shop=convenience,53.3746394,-8.7013036,
n1988647583,M. Fordham,supermarket,shop=convenience,53.3745063,-8.7044603,
n1988647585,Monivea Butchers,supermarket,shop=butcher,53.374461,-8.7048549,
n2046663524,Daybreak,supermarket,shop=convenience,53.4291091,-8.641013,
n2050674168,Centra,supermarket,shop=convenience,53.4374916,-8.8618154,Corrofin
n2051539104,Spice Bazaar,supermarket,shop=supermarket,53.2865947,-8.9845664,
n2051539118,The Grove,supermarket,shop=convenience,53.2867067,-8.9843463,
n2051655497,McGreals Mace,supermarket,shop=convenience,53.2884421,-9.0015838,
n2051779552,Alren Stores,supermarket,shop=convenience,53.2824949,-9.0028768,
n2053274464,Sprar,supermarket,shop=convenience,53.0908455,-8.7733153,
n2053316785,O'Reilly's Newsagents,supermarket,shop=convenience,53.1974969,-8.5673492,
n2053541659,Spar,supermarket,shop=convenience,53.2013409,-8.5569114,
n2087237530,Tí Mhaitín,supermarket,shop=convenience,53.2649726,-9.5971577,
n2087402416,Tí Mhicí,supermarket,shop=convenience,53.263261,-9.6006909,
n2102030259,Seasons,supermarket,shop=greengrocer,53.2848014,-9.044226,
n2102030265,Terryland Fruit and Veg,supermarket,shop=greengrocer,53.2848441,-9.0443002,
