osm_id,name,category,subcategory,lat,lon,admin_division
n280740339,DERI Café,restaurant,amenity=cafe,53.2897812,-9.0741292,
n281089175,,restaurant,amenity=cafe,53.2886307,-9.066479,
n297217411,Keogh’s,restaurant,amenity=bar,53.1387425,-8.9377365,"Kinvarra, Galway"
n401355123,Thai Garden,restaurant,amenity=restaurant,53.2700867,-9.0538332,Galway
n410915059,Bake-Away Cafe,restaurant,amenity=cafe,53.3956927,-9.9187227,Roundstone
n410915066,O’Dowd’s,restaurant,amenity=restaurant,53.3964535,-9.9191498,"Roundstone, Galway"
n450242341,Arabica Cafe,restaurant,amenity=cafe,53.2706897,-9.0520426,
n583222596,Here for Now,restaurant,amenity=cafe,53.2760613,-9.0605252,Galway
n659714434,Kylemore Abbey,restaurant,amenity=restaurant,53.5602264,-9.8921981,
n659793142,"Cloverfox, Bar and Restaurant",restaurant,amenity=restaurant,53.5536443,-9.9480378,
n659793144,Veldon’s Seafarer,restaurant,amenity=restaurant,53.5534423,-9.948806,"Letterfrack, Galway"
n699771693,Butlers Chocolate Café,restaurant,amenity=cafe,53.2734303,-9.0518244,Galway
n783663740,An Dun,restaurant,amenity=restaurant,53.0844646,-9.5930002,
n917193446,Cloud Cafe,restaurant,amenity=cafe,53.2803412,-9.0586058,
n918854207,Smokey's,restaurant,amenity=cafe,53.2796545,-9.0601628,
n919630631,The Wall Café,restaurant,amenity=cafe,53.2820936,-9.0624481,
n919630632,An Bhialann,restaurant,amenity=restaurant,53.2798522,-9.0609426,
n919630655,Oasis,restaurant,amenity=cafe,53.279794,-9.0620848,
n919637092,MixGreens,restaurant,amenity=cafe,53.2761542,-9.0633126,Galway
n920226331,MacNeill’s,restaurant,amenity=pub,53.2738201,-9.048254,"Galway, Galway"
n920420001,37 West,restaurant,amenity=cafe,53.2809337,-9.0645202,
n925554991,Chinatown,restaurant,amenity=restaurant,53.298823,-8.7476646,
n1165281258,The Bread Basket,restaurant,amenity=restaurant,53.3300874,-8.2210462,
n1171456434,Friendly Bistro,restaurant,amenity=restaurant,53.2860277,-9.0333014,Galway
n1173359674,Table Talk,restaurant,amenity=restaurant,53.2979823,-8.9874614,
n1224435372,Rè Nao,restaurant,amenity=restaurant,53.2702245,-9.0542112,Galway
n1257321422,The Weavers Rest,restaurant,amenity=restaurant,53.1987851,-8.5670767,
n1257321494,Hopes Bakery & Coffee Shop,restaurant,amenity=cafe,53.198722,-8.5677407,
n1257321495,Mai Asian Streetfood,restaurant,amenity=restaurant,53.1985868,-8.5674233,Loughrea
n1257321525,Il Porcetto,restaurant,amenity=restaurant,53.1986553,-8.5666554,
n1314931134,The King's Head Bistro,restaurant,amenity=restaurant,53.2720449,-9.0530868,
n1314972753,Gourmet Tart Co.,restaurant,amenity=cafe,53.2603086,-9.0754282,Galway
n1315257587,Coole Park Tearooms,restaurant,amenity=cafe,53.0926164,-8.8377227,
n1332809010,,restaurant,amenity=cafe,53.0627354,-9.5181884,
n1332809084,Tigh Ned,restaurant,amenity=restaurant,53.0680509,-9.5256506,
n1332809213,Radharc an Chaislean,restaurant,amenity=cafe,53.0623561,-9.518124,
n1403172188,Keogh's,restaurant,amenity=restaurant,53.4310477,-10.0756203,Clifden
n1403180124,Hungry Hiker Cafe,restaurant,amenity=cafe,53.5512412,-9.9448518,
n1403182432,ithe Smashburgers,restaurant,amenity=restaurant,53.2712198,-9.0541108,Galway
n1417111877,,restaurant,amenity=restaurant,53.2842107,-9.0659689,
n1417111878,Zinc Cafe,restaurant,amenity=restaurant,53.2836858,-9.0633815,
n1419741832,Amigo's Ristorante,restaurant,amenity=restaurant,53.1986859,-8.571037,
n1450476183,Food for Thought,restaurant,amenity=restaurant,53.2729556,-9.0516417,Galway
n1469221574,Woozza Pizza Takeaway,restaurant,amenity=restaurant,53.2696893,-9.0609027,Galway
n1469413984,Freddy’s,restaurant,amenity=restaurant,53.2710209,-9.0540652,"Galway, Galway"
n1469413999,Starbucks,restaurant,amenity=cafe,53.270845,-9.0542464,Galway
n1469414003,Martine's,restaurant,amenity=restaurant,53.2708975,-9.0541877,Galway
n1469414017,The Charcoal Grill,restaurant,amenity=restaurant,53.2712497,-9.053884,Galway
n1469414029,Trattoria Magnetti,restaurant,amenity=restaurant,53.2710999,-9.0542012,Galway
n1469613203,Álainn,restaurant,amenity=cafe,53.2720545,-9.0535238,Galway
n1469613206,Nana's Tea,restaurant,amenity=cafe,53.2715932,-9.0536069,Galway
n1477211194,Rouge,restaurant,amenity=restaurant,53.2704897,-9.0572361,Galway
n1556794584,Pasta Factory,restaurant,amenity=restaurant,53.2743125,-9.0536423,"Galway, Galway"
n1576429079,Coffee Domain,restaurant,amenity=cafe,53.4710723,-8.4995549,
n1595768119,Ground & Co.,restaurant,amenity=cafe,53.2597974,-9.0740169,Galway
n1595809322,Woozza,restaurant,amenity=restaurant,53.2719167,-9.0526294,Galway
n1599830495,Péarla na Mara,restaurant,amenity=restaurant,53.2687641,-8.9281549,Oranmore
n1601684116,Regans,restaurant,amenity=pub,53.3753539,-9.0163863,Cloonboo
n1604412700,Finn's,restaurant,amenity=restaurant,53.6126633,-8.8984041,
n1719691808,The Huntsman Inn,restaurant,amenity=pub,53.2813856,-9.0337771,"Galway, Galway"
n1729167423,Asian Tea House,restaurant,amenity=restaurant,53.2745183,-9.053488,Galway
n1729288374,China Court,restaurant,amenity=restaurant,53.2855506,-9.0117786,
n1731007157,Black Cat,restaurant,amenity=restaurant,53.2600259,-9.0756551,Galway
n1734304548,Cruinniú,restaurant,amenity=cafe,53.2910137,-9.0045794,Galway
n1734431073,Royal Rock Cafe,restaurant,amenity=cafe,53.2908402,-9.015527,
n1734467917,The Galway Plate,restaurant,amenity=restaurant,53.2940529,-9.0171503,
n1734538947,Bethlehem,restaurant,amenity=restaurant,53.2894589,-8.9999608,
n1735759390,O'Briens,restaurant,amenity=cafe,53.2851741,-9.0266725,
n1735817343,The Full Duck,restaurant,amenity=cafe,53.2772397,-9.0237364,Galway
n1736554369,O'Grady's On The Pier,restaurant,amenity=restaurant,53.2494993,-9.1509383,
n1740402236,Seacrest Kafe,restaurant,amenity=cafe,53.2619486,-9.1127694,Galway
n1742807774,Kettle Cafe,restaurant,amenity=cafe,53.2753713,-9.0507795,Galway
n1743489570,1810 Restaurant and Bar,restaurant,amenity=restaurant,53.2746167,-9.0508472,"Galway, Galway"
n1743517635,Adams Green Provisions,restaurant,amenity=cafe,53.2743015,-9.050442,Galway
n1743517642,The GBC,restaurant,amenity=restaurant,53.2741033,-9.0508067,Galway
n1748715756,Capones,restaurant,amenity=restaurant,53.2630488,-9.1028437,Galway
n1751219167,Chef Laura Rosso,restaurant,amenity=restaurant,53.2628395,-9.0713825,Galway
n1751707440,Coco Café,restaurant,amenity=cafe,53.2583506,-9.0800041,Galway
n1754853151,Anton's,restaurant,amenity=cafe,53.2678153,-9.0600524,Galway
n1760050067,The Galleon,restaurant,amenity=restaurant,53.2603287,-9.0758573,Galway
n1789914288,,restaurant,amenity=cafe,53.5966294,-9.6937716,
n1797364448,Royal Villa,restaurant,amenity=restaurant,53.2675612,-8.9302639,Oranmore
n1809978643,Marconi Restaurant,restaurant,amenity=restaurant,53.4887,-10.0225161,"Clifden, Galway"
n1809978647,E.J. Kings Bar & Restaurant,restaurant,amenity=pub,53.4884404,-10.0225402,"Clifden, Galway"
n1809978651,Guy’s Bar,restaurant,amenity=pub,53.488574,-10.0221594,"Clifden, Galway"
n1809978652,Jasmine Garden,restaurant,amenity=restaurant,53.487564,-10.021285,
n1809978657,Mitchell's,restaurant,amenity=restaurant,53.4881155,-10.0221319,
n1813929450,,restaurant,amenity=cafe,53.6187864,-8.7413724,
n1819094943,Moffetts Restaurant,restaurant,amenity=restaurant,53.2799459,-9.0582427,
n1821214926,White Gables,restaurant,amenity=restaurant,53.3379339,-9.1805097,
n1824359893,Pier Head Bar and Restaurant,restaurant,amenity=restaurant,53.1404011,-8.9380824,
n1831217334,Finnegan’s,restaurant,amenity=restaurant,53.2735376,-9.0529102,"Galway, Galway"
n1865533608,Wokbaba,restaurant,amenity=restaurant,53.2621873,-9.1243991,Galway
n1865541850,Brasserie on the Corner,restaurant,amenity=restaurant,53.2746725,-9.0528436,Galway
n1865555089,Mr Waffle,restaurant,amenity=cafe,53.2767401,-9.0633139,Galway
n1865563621,Kumars Taste Of Asia,restaurant,amenity=restaurant,53.2703928,-9.0537941,Galway
n1865566814,Java's,restaurant,amenity=cafe,53.2737392,-9.0530896,Galway
n1866986474,Mocha Beans,restaurant,amenity=cafe,53.260963,-9.0752341,Galway
n1867148526,,restaurant,amenity=cafe,53.2792864,-9.00798,
n1867214279,Oscars,restaurant,amenity=restaurant,53.2700581,-9.0585255,Galway
n1868469569,Mulberry's,restaurant,amenity=restaurant,53.249579,-9.1541017,
n1868469870,Ground & Co.,restaurant,amenity=cafe,53.250483,-9.155619,Barna
n1870080314,Renzo,restaurant,amenity=cafe,53.2755494,-9.0509449,Galway
n1870082188,Tulsi,restaurant,amenity=restaurant,53.272162,-9.0518287,
n1874232320,Milano,restaurant,amenity=restaurant,53.27176,-9.052808,Galway
n1875734589,Mocha Beans,restaurant,amenity=cafe,53.2711732,-9.0530153,Galway
n1879519026,Fox's of Kinvara,restaurant,amenity=restaurant,53.1389458,-8.9372685,
n1881215445,Mother Hubbards,restaurant,amenity=restaurant,53.2648897,-8.8233076,
n1881274944,,restaurant,amenity=restaurant,53.2284905,-8.8807606,
n1881372301,Claires Tea Rooms,restaurant,amenity=cafe,53.2272039,-8.8797168,
n1881372305,Coral Manor Chinese,restaurant,amenity=restaurant,53.2273199,-8.8814514,
n1881372319,Paddy Burkes,restaurant,amenity=restaurant,53.228157,-8.8807165,
n1881372322,Poppy Seed Cafe,restaurant,amenity=cafe,53.2273418,-8.8814721,
n1881449489,The Poets Corner,restaurant,amenity=restaurant,53.2096768,-8.8686867,
n1883622357,Cafe Rose,restaurant,amenity=cafe,53.0926593,-8.2183487,
n1883622359,Golden City,restaurant,amenity=restaurant,53.0922964,-8.2196406,
n1883622366,Modena,restaurant,amenity=restaurant,53.0915053,-8.2207854,
n1889252553,Royal Villa,restaurant,amenity=restaurant,53.2639991,-9.5983105,
n1901946220,Corrib House Tearooms,restaurant,amenity=cafe,53.2765057,-9.0548462,
n1986137182,Chan's Chinese,restaurant,amenity=restaurant,53.2859775,-8.9836895,
n1988647582,Little Bake House,restaurant,amenity=cafe,53.3745439,-8.7034702,
n2034562900,Gourmet Tart Co.,restaurant,amenity=cafe,53.2747874,-9.0531671,Galway
n2037121433,Grain & Grill Restaurant,restaurant,amenity=restaurant,53.2779532,-8.9271123,Oranmore
n2046908594,Mocha Beans,restaurant,amenity=cafe,53.2935709,-8.749259,
n2051809020,Galwegians Restaurant,restaurant,amenity=restaurant,53.278104,-9.0148498,
n2101894408,Ed's Place,restaurant,amenity=cafe,53.2910745,-9.0046887,Galway
n2102123318,Focaccino,restaurant,amenity=cafe,53.2753882,-9.0509279,Galway
n2102133020,McSwiggan’s,restaurant,amenity=restaurant,53.2750815,-9.0525096,"Galway, Galway"
n2102313260,Wards Restaurant,restaurant,amenity=restaurant,53.2918458,-8.5132839,
n2102323149,,restaurant,amenity=cafe,53.2527432,-8.5615293,
n2102323151,,restaurant,amenity=restaurant,53.2527977,-8.5613493,
