osm_id,name,category,subcategory,lat,lon,admin_division
n1875761726,,local_market,amenity=marketplace,53.2748464,-9.0506603,
n7944690125,Tribal Foods,local_market,shop=farm,53.3165922,-8.8121402,
n12919244894,Roundstone Sunday Market,local_market,amenity=marketplace,53.3947398,-9.9184602,
w99299651,,local_market,landuse=farmyard,53.3003711,-8.9273722,
w124123870,Mart,local_market,amenity=marketplace,53.091718,-8.2138845,
w177856759,,local_market,landuse=farmyard,53.4113865,-8.5607003,
w178221956,Athenry Mart,local_market,amenity=marketplace,53.2938402,-8.7511465,
w182387480,,local_market,amenity=marketplace,53.3296288,-8.2210035,
w238973464,,local_market,landuse=farmyard,53.2527599,-9.136194,
w239250275,,local_market,landuse=farmyard,53.2479064,-9.3118547,
w239251576,,local_market,landuse=farmyard,53.2499569,-9.2972501,
w239422749,,local_market,landuse=farmyard,53.4156601,-9.5138683,
w239434968,,local_market,landuse=farmyard,53.4339346,-9.4536582,
w239434969,,local_market,landuse=farmyard,53.4341777,-9.4552639,
w239782752,,local_market,landuse=farmyard,53.3427644,-9.4441729,
w239925095,,local_market,landuse=farmyard,53.2890772,-9.5119025,
w240709435,,local_market,landuse=farmyard,53.3279224,-9.2364674,
w240855732,Loughwell Pet Farm,local_market,landuse=farmyard,53.3091128,-9.2289403,
w241216908,,local_market,landuse=farmyard,53.2596917,-9.3019791,
w241948105,,local_market,landuse=farmyard,53.2618631,-9.3107758,
w245581756,,local_market,landuse=farmyard,53.3570804,-9.4273998,
w250294315,,local_market,landuse=farmyard,53.4958711,-9.9118727,
w252952929,,local_market,landuse=farmyard,53.4533364,-9.5601459,
w289136449,,local_market,landuse=farmyard,53.5145425,-8.8733144,
w299172911,,local_market,landuse=farmyard,53.4580014,-9.7609076,
w301957670,,local_market,landuse=farmyard,53.4801852,-9.9349994,
w311503595,,local_market,landuse=farmyard,53.4656427,-8.5251678,
w311503596,,local_market,landuse=farmyard,53.4655356,-8.5258434,
w390460197,,local_market,landuse=farmyard,53.480915,-10.0699286,
w393511280,,local_market,landuse=farmyard,53.4903322,-10.0497283,
w395601701,,local_market,landuse=farmyard,53.5522409,-9.3108666,
w397610128,,local_market,landuse=farmyard,53.4802179,-10.0272749,
w407181002,,local_market,landuse=farmyard,53.6722755,-8.5938586,
w407181011,,local_market,landuse=farmyard,53.66175,-8.5986605,
w407181014,,local_market,landuse=farmyard,53.6766007,-8.5944263,
w407181015,,local_market,landuse=farmyard,53.67581,-8.5955067,
w407181016,,local_market,landuse=farmyard,53.6765761,-8.5968498,
w407181023,,local_market,landuse=farmyard,53.6762727,-8.6050477,
w445902092,,local_market,landuse=farmyard,53.6141769,-10.230147,
w463124443,,local_market,landuse=farmyard,53.6583953,-8.7723629,
w463331609,,local_market,landuse=farmyard,53.6578163,-8.8137502,
w477532270,,local_market,landuse=farmyard,53.3450694,-8.2413179,
w480592401,,local_market,landuse=farmyard,53.1573114,-8.8139539,
w480592435,,local_market,landuse=farmyard,53.1604663,-8.7991978,
w483064455,,local_market,landuse=farmyard,53.4041977,-8.4506697,
w502984098,,local_market,landuse=farmyard,53.5622333,-10.0998031,
w510280220,,local_market,landuse=farmyard,53.2351507,-8.9578657,
w524217766,,local_market,landuse=farmyard,53.2288693,-8.4805634,
w525204502,,local_market,landuse=farmyard,53.2245887,-8.4778859,
w525701950,,local_market,landuse=farmyard,53.2293378,-8.4866402,
w525703943,,local_market,landuse=farmyard,53.2300894,-8.4885707,
w525920460,,local_market,landuse=farmyard,53.2386214,-8.4885739,
w525951431,,local_market,landuse=farmyard,53.2217689,-8.5316692,
w525953595,,local_market,landuse=farmyard,53.2248823,-8.5303187,
w526495327,,local_market,landuse=farmyard,53.2370281,-8.490197,
w526507561,,local_market,landuse=farmyard,53.2365876,-8.4993889,
w526792175,,local_market,landuse=farmyard,53.2375537,-8.5113443,
w526798103,,local_market,landuse=farmyard,53.2371214,-8.507734,
