osm_id,name,category,subcategory,lat,lon,admin_division
w34361890,Strawberry Fields,farm,landuse=farmland,53.1339323,-9.7362237,
w159666278,,farm,landuse=farmland,53.2736242,-9.0105416,
w159669887,,farm,landuse=farmland,53.2706988,-9.0274816,
w159860292,,farm,landuse=farmland,53.2743201,-9.0338302,
w160602500,,farm,landuse=greenhouse_horticulture,53.2771513,-8.9864178,
w160602502,,farm,landuse=greenhouse_horticulture,53.2772185,-8.9864662,
w160662196,,farm,landuse=farmland,53.2751146,-9.0025547,
w161311370,,farm,landuse=allotments,53.2780252,-9.0378263,
w161311371,,farm,landuse=allotments,53.2791306,-9.0363783,
w177937308,,farm,building=greenhouse,53.3327504,-8.202811,
w177937320,,farm,building=greenhouse,53.3324,-8.2026004,
w177937329,,farm,building=greenhouse,53.3327585,-8.2027019,
w177937355,,farm,building=greenhouse,53.332412,-8.2024992,
w187807771,,farm,landuse=farmland,53.2968913,-9.011393,
w188155199,,farm,landuse=allotments,53.290594,-9.0360718,
w209114856,Ballybane Community Organic Garden,farm,landuse=allotments,53.2833289,-9.002574,
w211639789,,farm,building=greenhouse,53.296613,-9.0825071,
w211858618,,farm,building=greenhouse,53.2916778,-9.0745615,
w211858619,,farm,building=greenhouse,53.2920425,-9.0746603,
w211858620,,farm,building=greenhouse,53.2926135,-9.0741074,
w211858621,,farm,building=greenhouse,53.2918348,-9.074381,
w211900836,,farm,building=greenhouse,53.2810771,-9.0623749,
w234276501,,farm,building=greenhouse,53.2890769,-9.5531926,
w234276503,,farm,building=greenhouse,53.2891173,-9.5526043,
w234276511,,farm,building=greenhouse,53.2891977,-9.5545461,
w234276515,,farm,building=greenhouse,53.2891499,-9.5531867,
w234276516,,farm,building=greenhouse,53.2890497,-9.5526115,
w234276520,,farm,building=greenhouse,53.2889797,-9.5526255,
w239109191,,farm,landuse=farmland,53.2886985,-9.0565751,
w239116748,,farm,landuse=farmland,53.2606302,-9.2186337,
w239117760,,farm,landuse=farmland,53.2598592,-9.2170315,
w239117761,,farm,landuse=farmland,53.259957,-9.2177778,
w239122623,,farm,landuse=farmland,53.2596963,-9.2158916,
w239250961,,farm,landuse=farmland,53.2486579,-9.3011618,
w239251370,,farm,landuse=farmland,53.2503204,-9.3054434,
w239251574,,farm,landuse=farmland,53.2502623,-9.3002893,
w239434929,,farm,landuse=farmland,53.432289,-9.458798,
w239446444,,farm,landuse=farmland,53.4440981,-9.4686049,
w239450425,,farm,landuse=farmland,53.4301509,-9.4385954,
w239579553,,farm,landuse=farmland,53.3793101,-9.5143163,
w239615667,,farm,landuse=farmland,53.3601697,-9.5382391,
w239634623,,farm,landuse=farmland,53.3400184,-9.4947547,
w239719217,,farm,landuse=farmland,53.3444875,-9.4962825,
w239720292,,farm,landuse=farmland,53.3858802,-9.4980401,
w239720304,,farm,landuse=farmland,53.3850932,-9.4985229,
w239720321,,farm,landuse=farmland,53.3840373,-9.495256,
w239720376,,farm,landuse=farmland,53.3852818,-9.5043862,
w239730405,,farm,landuse=farmland,53.3419234,-9.5441326,
w239738532,,farm,landuse=farmland,53.3292547,-9.5696083,
w239738533,,farm,landuse=farmland,53.3286092,-9.5698678,
w239748870,,farm,landuse=farmland,53.3515248,-9.3367943,
w239748981,,farm,landuse=farmland,53.3608801,-9.3415472,
w239754088,,farm,landuse=farmland,53.31423,-9.4841276,
w239757830,,farm,landuse=farmland,53.3119659,-9.5513545,
w239782715,,farm,landuse=farmland,53.3433504,-9.4422042,
w239867864,,farm,landuse=farmland,53.4623069,-9.4807999,
w239867868,,farm,landuse=farmland,53.4725185,-9.4861783,
w239867869,,farm,landuse=farmland,53.4545437,-9.4692036,
w239881074,,farm,landuse=farmland,53.340728,-9.4627492,
w239886164,,farm,landuse=farmland,53.3128869,-9.476652,
w239925094,,farm,landuse=farmland,53.2882693,-9.512832,
w239925981,,farm,landuse=farmland,53.2912909,-9.508463,
w239979044,,farm,landuse=farmland,53.364581,-9.3514499,
w239979130,,farm,landuse=farmland,53.3635566,-9.3501303,
w239979133,,farm,landuse=farmland,53.3637102,-9.346976,
w239979492,,farm,landuse=farmland,53.371764,-9.3410762,
w239989220,,farm,landuse=farmland,53.390778,-9.273296,
