osm_id,name,category,subcategory,lat,lon,admin_division
n280873272,,waste,amenity=recycling,53.2006296,-8.565015,
n281348335,,waste,amenity=recycling,53.3148164,-8.2221378,
n369320718,,waste,amenity=recycling,53.3014954,-8.7490654,
n387542963,,waste,amenity=recycling,53.1048575,-9.6616809,
n387542981,,waste,amenity=recycling,53.1181826,-9.6732322,
n390044176,,waste,amenity=recycling,53.0843075,-9.5898017,
n394202220,,waste,amenity=recycling,53.1360007,-9.6961267,
n568037330,,waste,amenity=recycling,53.2732676,-8.9288387,
n568037341,,waste,amenity=recycling,53.2663606,-8.9301612,
n659793545,,waste,amenity=recycling,53.5521228,-9.9508654,
n699720922,,waste,amenity=recycling,53.1389047,-8.9451554,
n840320289,,waste,amenity=recycling,53.5107093,-9.4584023,
n850273586,,waste,amenity=recycling,53.2885937,-9.656419,
n998760992,,waste,amenity=recycling,53.2025931,-8.5826646,
n1155667356,,waste,amenity=recycling,53.4367828,-8.4356638,
n1155695734,,waste,amenity=recycling,53.4730501,-8.5146837,
n1155744488,,waste,amenity=recycling,53.6525621,-8.4546297,
n1170115426,,waste,amenity=recycling,53.3288508,-8.2191429,
n1208287628,,waste,amenity=recycling,53.3236641,-8.223898,
n1314958631,,waste,amenity=recycling,53.2576371,-9.0859887,
n1314972681,,waste,amenity=recycling,53.2602999,-9.0733055,
n1318994666,,waste,amenity=recycling,53.4882721,-9.9838527,
n1574591015,,waste,amenity=recycling,53.4218044,-8.5777831,
n1576414030,,waste,amenity=recycling,53.3741114,-8.6991178,
n1576429684,,waste,amenity=recycling,53.4282864,-8.4798778,
n1601723680,,waste,amenity=recycling,53.3982187,-8.9951069,
n1730686811,,waste,amenity=recycling,53.2620373,-9.1057808,
n1735659347,,waste,amenity=recycling,53.48685,-8.564127,
n1735729533,,waste,amenity=recycling,53.2951095,-9.0122851,
n1735778320,,waste,amenity=recycling,53.2840748,-9.0442154,
n1739131333,,waste,amenity=recycling,53.2566022,-9.0923787,
n1739254436,,waste,amenity=recycling,53.2709114,-9.0972689,
n1751659169,,waste,amenity=recycling,53.2581082,-9.0791165,
n1813928609,,waste,amenity=recycling,53.6183408,-8.7414767,
n1819100621,,waste,amenity=recycling,53.2767333,-9.0783235,
n1821214923,,waste,amenity=recycling,53.3366816,-9.1819732,
n1824333673,,waste,amenity=recycling,53.0638214,-8.8221091,
n1881372427,,waste,amenity=recycling,53.2270429,-8.8808082,
n1881372855,,waste,amenity=recycling,53.2298286,-8.876582,
n1972899797,,waste,amenity=recycling,53.2856098,-8.9830728,
n1988553308,,waste,amenity=recycling,53.3810608,-8.4873101,
n2047472740,,waste,amenity=recycling,53.2922247,-8.5117688,
n2050271749,,waste,amenity=recycling,53.3938862,-9.9206547,
n2050576888,Wers Waste,waste,amenity=recycling,53.5073003,-8.8746085,
n2051429339,,waste,amenity=recycling,53.5528225,-8.5663647,
n2051429521,,waste,amenity=recycling,53.5937509,-8.3631134,
n2051894331,,waste,amenity=recycling,53.0617287,-8.8144242,
n2052047321,,waste,amenity=recycling,53.0658298,-8.8161387,
n2065588223,,waste,amenity=recycling,53.2643004,-9.598204,
n2097999760,,waste,amenity=recycling,53.5103079,-9.5650007,
n2102342108,,waste,amenity=recycling,53.2308727,-8.4541094,
n2195189351,,waste,amenity=recycling,53.2724148,-9.0046867,
n2195189352,,waste,amenity=recycling,53.2725019,-9.0037158,
n2195189354,,waste,amenity=recycling,53.2730088,-9.0027848,
n2195189355,,waste,amenity=recycling,53.2731072,-9.0037181,
n2195189356,,waste,amenity=recycling,53.2732361,-9.0018961,
n2864965261,,waste,amenity=recycling,53.4310473,-10.0749534,
n2865117854,,waste,amenity=recycling,53.5970163,-9.694115,
n3378778693,,waste,amenity=recycling,53.296295,-8.7491364,
n3378935977,,waste,amenity=recycling,53.3308533,-8.2255449,
n3390523838,,waste,amenity=recycling,53.2791526,-9.0575537,
n3903689155,,waste,amenity=recycling,53.4879836,-10.0050227,
