osm_id,name,category,subcategory,lat,lon,admin_division
w23741155,Lough Muck,water,natural=water,53.598494,-9.8533293,
w25745511,Terryland River,water,waterway=river,53.2937232,-9.027257,
w25753909,Distillery River,water,waterway=canal,53.2821437,-9.0611775,
w25753971,Gaol River,water,waterway=canal,53.2751496,-9.0584046,
w25756909,,water,natural=water,53.2925287,-9.0594694,
w25756931,,water,natural=water,53.2959257,-9.0600474,
w25756953,,water,waterway=stream,53.2929901,-9.059796,
w25756957,,water,natural=water,53.2959209,-9.0582851,
w25756959,,water,waterway=stream,53.2949465,-9.059093,
w25985604,Clare,water,waterway=river,53.623487,-8.8687961,
w26173405,,water,waterway=stream,53.3195985,-9.1469572,
w26173442,,water,waterway=stream,53.318976,-9.1429634,
w26173446,,water,waterway=stream,53.3173883,-9.1367778,
w26357930,,water,natural=water,53.2950321,-9.061626,
w26357933,,water,natural=water,53.2948549,-9.0609978,
w26357935,,water,waterway=stream,53.294449,-9.0601614,
w26467701,Loch Mháimín Manrach,water,natural=water,53.3702646,-9.7558172,
w26483647,Loch an Bhuí,water,natural=water,53.3733923,-9.7430148,
w26483830,Loch an Iarainn,water,natural=water,53.3741333,-9.7512615,
w26483911,Loch Seanadh Mhac Dónaill,water,natural=water,53.3725625,-9.7618366,
w26484028,Loch Ghleann na Rod Mór,water,natural=water,53.3438642,-9.7469187,
w27425800,,water,waterway=river,53.2452481,-8.0000758,
w27871681,Ballindooly Lough,water,natural=water,53.3063281,-9.026934,
w27871685,,water,waterway=stream,53.3291545,-9.0015081,
w28027603,Abhainn Loch Inse,water,waterway=river,53.2669078,-9.1748816,
w28051319,,water,natural=water,53.2789087,-9.0534276,
w28057055,,water,waterway=stream,53.2758101,-9.0316284,
w28057090,,water,waterway=stream,53.2720748,-9.0352218,
w28057091,,water,natural=water,53.2707154,-9.0335748,
w28057094,,water,waterway=stream,53.2707757,-9.0343319,
w28057224,,water,natural=water,53.269827,-9.0343206,
w28060033,,water,waterway=stream,53.2718713,-9.0350577,
w28060039,Drum Lough,water,natural=water,53.2974021,-9.1394884,
w28406809,,water,natural=water,53.2907955,-9.1058414,
w28406810,,water,waterway=stream,53.2903294,-9.1067961,
w28406811,Lough Nabrocky,water,natural=water,53.289677,-9.1075978,
w28406813,,water,waterway=stream,53.2889996,-9.1079544,
w28439346,,water,waterway=stream,53.2568799,-9.1078652,
w28439347,,water,waterway=stream,53.2577369,-9.1070722,
w28439348,,water,waterway=stream,53.2575587,-9.1065058,
w28439349,,water,waterway=stream,53.2571872,-9.1061445,
w28530421,Cregg River,water,waterway=river,53.3762347,-8.9853276,
w28530422,,water,waterway=stream,53.3931163,-8.9598354,
w28530423,Waterdale River,water,waterway=river,53.3653499,-8.9705755,
w28530424,,water,waterway=stream,53.3736583,-8.9428242,
w29139452,,water,waterway=stream,53.3379928,-9.1526876,
w30714362,Sruthán Bhearna,water,waterway=stream,53.2624416,-9.1316558,
w31120062,Cloonalroon Lake,water,natural=water,53.6365797,-8.8986654,
w31120063,,water,natural=water,53.6527166,-8.9005063,
w31120064,Castlereach Lough,water,natural=water,53.6525243,-8.894517,
w34362488,,water,natural=water,53.128705,-9.6630831,
w34565286,Eglinton Canal,water,waterway=canal,53.2700693,-9.0560579,
w34565287,Convent River,water,waterway=canal,53.2732982,-9.0595972,
w35465059,Convent River,water,waterway=canal,53.2718011,-9.0570656,
w35465072,Convent River,water,waterway=canal,53.2716687,-9.05664,
w35465076,Convent River,water,waterway=canal,53.2713482,-9.0564346,
w35539307,Friars River,water,waterway=canal,53.2748232,-9.0551561,
w35539314,Friars River,water,waterway=canal,53.2743172,-9.0548218,
w35539315,Friars River,water,waterway=canal,53.2736463,-9.0550962,
w35539317,Friars River,water,waterway=canal,53.2732102,-9.0554906,
w35539318,Friars River,water,waterway=canal,53.2726491,-9.0555994,
w35539323,Friars River,water,waterway=canal,53.2721653,-9.0557665,
w35539325,Friars River,water,waterway=canal,53.2721125,-9.0560151,
