county,osm_id,name,category,subcategory,lat,lon,admin_division
dublin,n31901640,Indian Summer,restaurant,amenity=restaurant,53.2884983,-6.2057489,
dublin,n132228340,The Old Punch Bowl,restaurant,amenity=pub,53.3087656,-6.1966601,
dublin,n132811831,Palmerstown House,restaurant,amenity=pub,53.356444,-6.3706215,"Palmerstown, Dublin"
dublin,n257170539,Oar House,restaurant,amenity=restaurant,53.3909742,-6.0711431,"Howth, Dublin"
dublin,n269920213,Courtney’s,restaurant,amenity=restaurant,53.3563013,-6.4501896,"Lucan, Dublin"
dublin,n278857702,La Gondola,restaurant,amenity=restaurant,53.3457882,-6.2619477,Dublin
dublin,n279363879,Thunder Road Cafe,restaurant,amenity=restaurant,53.3456174,-6.2612215,"Dublin, Dublin"
dublin,n279363883,The Joy of Chá,restaurant,amenity=cafe,53.3451923,-6.2661036,
dublin,n279912234,La Pizza,restaurant,amenity=restaurant,53.3510617,-6.260424,Dublin
dublin,n279915988,Arlington Bar & Restaurant,restaurant,amenity=pub,53.3472522,-6.2609325,"Dublin, Dublin"
dublin,n282968362,Chrysanthemum Chinese Restaurant,restaurant,amenity=restaurant,53.2939748,-6.3002428,
dublin,n291776562,The Bagel Bar,restaurant,amenity=cafe,53.3478437,-6.263717,Dublin
dublin,n293524291,Scholars,restaurant,amenity=pub,53.2750936,-6.3449534,
dublin,n298721803,Harkin’s,restaurant,amenity=pub,53.3424988,-6.2885248,"Dublin, Dublin"
dublin,n300290443,Blackchurch Inn & Restaurant,restaurant,amenity=restaurant,53.2692306,-6.5182798,
dublin,n310407193,Madame Pho,restaurant,amenity=restaurant,53.3431117,-6.2635746,Dublin
dublin,n310407690,Bittersweet Cafe,restaurant,amenity=cafe,53.3437335,-6.2688365,
dublin,n310408293,The Bull & Castle Bar,restaurant,amenity=bar,53.3434574,-6.2698697,"Dublin, Dublin"
dublin,n310408465,The Market Bar,restaurant,amenity=restaurant,53.3420622,-6.2640639,Dublin
dublin,n311099928,Woolshed Baa & Grill,restaurant,amenity=pub,53.3502671,-6.2674686,"Dublin, Dublin"
dublin,n312565518,The Bridge Cafe,restaurant,amenity=cafe,53.3416287,-6.2281361,Dublin
dublin,n312574900,Sandymount House,restaurant,amenity=pub,53.3323885,-6.2152784,"Sandymount, Dublin"
dublin,n312576602,Horse Show House,restaurant,amenity=pub,53.3285197,-6.2289281,"Ballsbridge, Dublin, Dublin"
dublin,n315252689,The Terenure Inn,restaurant,amenity=pub,53.3113561,-6.2830549,"Dublin, Dublin"
dublin,n335556529,La Boulangerie Cafe,restaurant,amenity=cafe,53.3396891,-6.3145854,
dublin,n339208248,Diep Le Shaker,restaurant,amenity=restaurant,53.3365613,-6.2516856,Dublin
dublin,n356046116,Thai Garden,restaurant,amenity=restaurant,53.3855392,-6.3745776,Blanchardstown
dublin,n365309752,,restaurant,amenity=restaurant,53.5648495,-6.2116176,
dublin,n365324181,Cafe Haven,restaurant,amenity=cafe,53.406501,-6.3497812,
dublin,n366363185,One Pico,restaurant,amenity=restaurant,53.3405799,-6.2573287,Dublin
dublin,n367106504,Corkagh Fisheries,restaurant,amenity=cafe,53.3099354,-6.4184357,
dublin,n370213807,Christophe's,restaurant,amenity=restaurant,53.3483367,-6.2770807,Dublin
dublin,n386921698,The Boat Bar & Restaurant,restaurant,amenity=restaurant,53.3470353,-6.2378335,Dublin
dublin,n387223189,Akaka Poké,restaurant,amenity=restaurant,53.3494163,-6.2444344,Dublin
dublin,n387223272,Cool Hand Coffee Roasters IFSC,restaurant,amenity=cafe,53.3494135,-6.2437735,Dublin
dublin,n387527184,Starbucks,restaurant,amenity=cafe,53.3493946,-6.2478488,Dublin
dublin,n417809986,The Food Gallery,restaurant,amenity=cafe,53.3430816,-6.2767538,Dublin
dublin,n434153497,Forno 500,restaurant,amenity=restaurant,53.3442981,-6.2662917,Dublin
dublin,n441233784,Douglas & Kaldi,restaurant,amenity=cafe,53.3757818,-6.3326262,
dublin,n444539820,Jade Palace,restaurant,amenity=restaurant,53.4712482,-6.2321664,
dublin,n446781985,Fallon & Byrne,restaurant,amenity=restaurant,53.343118,-6.2632917,Dublin
dublin,n446782461,La Maison,restaurant,amenity=restaurant,53.3423029,-6.2629206,Dublin
dublin,n446782627,Smokin Bones,restaurant,amenity=restaurant,53.3424,-6.262826,Dublin
dublin,n446782704,L'Gueuleton,restaurant,amenity=restaurant,53.3419302,-6.2643415,Dublin
dublin,n446783098,Town Bar and Grill,restaurant,amenity=restaurant,53.3396287,-6.2561537,Dublin
dublin,n458220904,China House,restaurant,amenity=restaurant,53.2816189,-6.3401918,
dublin,n459572890,Skerries Mills,restaurant,amenity=cafe,53.5743226,-6.1102468,
dublin,n460016140,Kinara,restaurant,amenity=restaurant,53.360786,-6.1829271,
