alert_id,date,title,category,country_origin,hazard_type,approval_numbers,product_name,source_url
2026.32,2026-06-12,Recall of specific batches of pork mince products due to the presence of Salmonella,For Action,Ireland,Nature Of Danger:,329,Please see table below.,https://www.fsai.ie/News-and-Alerts/Food-Alerts/Recall-of-a-batch-of-Lidl-s-Family-Pack-Pork-Mince
2026.33,2026-06-17,Recall of specific batches of Pettitt's Kitchen products due to the possible presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,4093,Please see list below.  Approval number: IE 4093 EC.,https://www.fsai.ie/News-and-Alerts/Food-Alerts/Recall-of-specific-batches-of-Pettitt-s-ready-to-e
2026.34,2026-06-19,Recall of specific batches of various French brie products due to the presence of Listeria monocytogenes,For Action,,Nature Of Danger:,,Please see table below for product details.,https://www.fsai.ie/News-and-Alerts/Food-Alerts/Recall-of-specific-batches-of-various-French-Brie
2026.34 (Update 1),2026-06-23,Update to recall of specific batches of various French brie products due to the presence of Listeria monocytogenes (Update 1),For Action,,Nature Of Danger:,,Traditional Cheese Company French Brie; pack size: 160g,https://www.fsai.ie/News-and-Alerts/Food-Alerts/Update-to-recall-of-specific-batches-of-various-Fr
2022.03,2022-01-11,BakeAway Recalls Various Raw Pastry and Dough Products due to Presence of Salmonella,For Action,United Kingdom,Nature Of Danger:,,"The table of BakeAway products that are recalled.
Product name:
Product size:
Use-by date:
Galberts Ready Rolled Shortcrust Pastry
375 g
24/01/2022
Galberts Ready Rolled Flaky Puff Pastry
375 g
24/01/2022
Tesco Ready Rolled Pizza Dough
400 g
17/01/2022
Tesco Ready Rolled Pizza Pastry
375 g
25/01/2022

			24/01/2022
Pizza Express Ready to Roll Dough
400 g
20/01/2022
Pizza Express Pre Rolled Dough
400 g
17/01/2022",https://www.fsai.ie/news-and-alerts/food-alerts/bakeaway-recalls-various-raw-pastry-and-dough-prod
2026.05,2026-02-06,Danone recall of specific batches of Aptamil and Cow & Gate infant formula and follow-on formula due to the possible presence of cereulide,For Action,Ireland,Nature Of Danger: Cereulide toxin is produced by the bacterium Bacillus cereus .,,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/danone-recall-of-batches-of-aptamil-and-cow-gate-i
2022.21,2022-03-15,Dunnes Stores Recalls a Batch of Baxter and Greene Smoked Salmon Pate due to the Possible Presence of Plastic Pieces,,Ireland,Dunnes Stores Recalls a Batch of Baxter and Greene Smoked Salmon Pate due to the,,Baxter & Greene Smoked Salmon Pate; pack size: 185g,https://www.fsai.ie/news-and-alerts/food-alerts/dunnes-stores-recalls-a-batch-of-baxter-and-greene
2023.02 (Update 1),2023-02-03,Extended recall by Western Brand of some batches of various raw chicken products due to the possible presence of Salmonella,For Action,Ireland,Nature Of Danger:,,"Please see table below.
Raw chicken products in Aldi
Product
Pack size
Use-by date
Batch Number
Aldi
Butchers Selection Irish Extra
Large Chicken Breast Fillets
690 g
19th Jan 2023
23009-306
Butchers Selection Irish Chicken
Breast Fillets
500 g
19th Jan 2023
23009-306
Butchers Selection Irish Chicken
Breast Fillets
291 g
19th Jan 2023
23009-306
Butchers Selection Irish Chicken
Mini Fillets
525 g
19th Jan 2023
23009-306
Butchers Selection Irish Chicken
Legs
815 g
19th Jan 2023
23009-306
Butchers Selection Medium
Whole Chicken
1600 g
19th Jan 2023
23009-306
Butchers Selection Small Whole
Chicken
1200 g
19th Jan 2023
23009-306",https://www.fsai.ie/news-and-alerts/food-alerts/extended-recall-by-western-brand-of-some-batches-o
2022.23 (Update 1),2022-04-05,Extended Recall of Additional Kinder Products Due to the Possible Presence of Salmonella,For Action,Belgium,Nature Of Danger:,,Please see table below for details.,https://www.fsai.ie/news-and-alerts/food-alerts/extended-recall-of-additional-kinder-products-due
2022.23 (Update 3),2022-04-08,Ferrero Recall Extended to All Batches and Additional Pack Sizes of Implicated Kinder Products due to Possible Presence of Salmonella,For Action,Belgium,Nature Of Danger:,,Please see table below for details.,https://www.fsai.ie/news-and-alerts/food-alerts/ferrero-recall-extended-to-all-batches-and-additio
2022.16 (Update 1),2022-03-07,Further Recall of Some Coleslaws and Other Products Containing Shredded Cabbages or Carrots due to the Possible Presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/further-recall-of-some-coleslaws-and-other-product
2026.01 (Update 4),2026-01-13,Further update to SMA infant formula and follow on formula recall to include batches and products possibly distributed to Ireland from the UK,For Action,,Nature Of Danger: Cereulide toxin is produced by the bacterium Bacillus cereus. ,,Please see 'List of batches and products' in Message section below for product details.,https://www.fsai.ie/news-and-alerts/food-alerts/further-update-to-sma-infant-formula-and-follow-on
2022.11,2022-02-10,IKEA Recalls a Batch of HUVUDROLL Vegetable Balls due to the Possible Presence of Plastic Pieces,,Sweden,IKEA Recalls a Batch of HUVUDROLL Vegetable Balls due to the Possible Presence o,,"HUVUDROLL Vegetable Balls (Frozen), pack size: 1000g",https://www.fsai.ie/news-and-alerts/food-alerts/ikea-recalls-a-batch-of-huvudroll-vegetable-balls
2026.29,2026-05-29,Medicinal product (melatonin) not permitted in food products present in various Jelly Pills food supplements,For Action,,Nature Of Danger:,,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/medicinal-product-(melatonin)-not-permitted-in-(1)
2025.53,2025-10-02,Medicinal product (melatonin) not permitted in food products present in various Life Extension food supplements,For Action,,"Nature Of Danger: In Ireland, melatonin is a prescription medication, is not aut",,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/melatonin-permitted-under-prescription-only-presen
2024.42,2024-09-17,Recall of specific batches of Creamy Delicious Foods coleslaw products due to the possible presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,,Please see table below.,https://www.fsai.ie/news-and-alerts/food-alerts/possible-presence-of-listeria-monocytogenes-in-sev
2023.34,2023-11-27,Recall of a batch of Aldi Roosters Southern Fried Chicken Fillet Goujons due to the possible presence of Salmonella,For Action,United Kingdom,Nature Of Danger:,,Roosters Southern Fried Chicken Fillet Goujons (frozen); pack size: 800g,https://www.fsai.ie/news-and-alerts/food-alerts/possible-presence-of-salmonella-in-roosters-chicke
2023.36,2023-12-11,Recall of Hortex Broccoli due to potential mouse contamination,For Action,Poland,Recall of Hortex Broccoli due to potential mouse contamination,,Hortex Broccoli (frozen); pack size: 400g,https://www.fsai.ie/news-and-alerts/food-alerts/presence-of-a-rodent-in-hortex-broccoli
2024.26,2024-06-27,Recall of a batch of Your Organic Nature Fruit Spread Strawberry due to presence of glass pieces,For Action,Netherlands,foreign body,,Your Organic Nature Fruit Spread Strawberry; pack size: 375g,https://www.fsai.ie/news-and-alerts/food-alerts/recall
2024.32,2024-07-17,Recall of a batch of Aga Holtex Bakalie Mak Niebieski (blue poppy seeds) due to elevated levels of opium alkaloids,For Action,Czech Republic,Recall of a batch of Aga Holtex Bakalie Mak Niebieski (blue poppy seeds) due to ,,Aga Holtex Bakalie Mak Niebieski (blue poppy seeds); pack size: 200g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-aga-holtex-bakalie-mak-niebie
2024.43,2024-09-23,Recall of a batch of Alameddine Tahina due to presence of Salmonella Muenster,For Action,Lebanon,Nature Of Danger:,,"Alameddine Tahina, pack size: 400g",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-alameddine-tahina
2025.57,2025-10-24,Recall of a batch of AliBaba Haldi Powder due to the presence of Salmonella,For Action,India,Salmonella,,AliBaba Haldi Powder; pack size: 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-alibaba-haldi-powder
2025.06,2025-02-06,Recall of a batch of Alpenfest Style Salted Mini Pretzels Milk Chocolate and Dark Chocolate as it may cause a burning sensation in the mouth,For Action,Hungary,Recall of a batch of Alpenfest Style Salted Mini Pretzels Milk Chocolate and Dar,,Alpenfest Style Salted Mini Pretzels Milk Chocolate and Alpenfest Style Salted Mini Pretzels Dark Chocolate; pack size: 140g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-alpenfest-salted-mini-pretzel
2022.71,2022-12-05,Recall of a batch of Anitca Macelleria Falorni il Salame Con Cinghiale due to the presence of Shiga toxin producing E.  coli,For Action,Italy,Nature Of Danger:,,"Anitca Macelleria Falorni il Salame Con Cinghiale wild boar salami;

pack size: approx. 350g (weights may vary);

approval number: IT 1524S CE",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-anitca-macelleria-falorni-il
2022.53,2022-08-23,Recall of a Batch of Ardo Frozen Fruitberry Mix due to the Presence of Hepatitis A,For Action,"Belgium, Poland",Nature Of Danger:,,Ardo Frozen Fruitberry Mix; pack size: 2500g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-ardo-frozen-fruitberry-mix
2022.19,2022-03-10,Recall of a Batch of Asian Choice Premium Pangasius Fillets due to the Presence of the Unauthorised Pesticide Chlorate,,Vietnam,pesticide residues,,Asian Choice Premium Pangasius Fillets (Frozen); pack size: 800g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-asian-choice-premium-pangasiu
2024.15,2024-04-25,Recall of a batch of Bigi Mama ginger powder due to the presence of Salmonella,For Action,India,Nature Of Danger:,,Bigi Mama ginger powder; pack size: 50g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-bigi-mama-ginger-powder
2026.30,2026-06-05,Recall of a batch of Biona Organic Himalayan Basmati Brown Rice due to the presence of unauthorised pesticide Ethylene Oxide,For Action,,pesticide residues,,Biona Organic Organic Himalayan Basmati Brown Rice; pack size: 500g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-biona-organic-himalayan-basma
2022.12,2022-02-10,Recall of a Batch of Burren Smokehouse Smoked Irish Organic Salmon Due to the Presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,22,"Burren Smokehouse Smoked Irish Organic Salmon; pack sizes: 90g, 180g, 500g, 1 kg; approval number: IE MO 0022 EC",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-burren-smokehouse-smoked-iris
2025.50,2025-09-25,Recall of a batch of Café Sol Pesto Pasta & Chicken due to the presence of Listeria monocytogenes,For Action,Ireland,Listeria monocytogenes,,Pesto Pasta & Chicken; pack size: 224g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-cafe-sol-pesto-pasta-chicken
2024.17,2024-05-01,Recall of a batch of Calm Releaf CBD Oil due to the presence of unsafe levels of Delta‐9‐tetrahydrocannabinol (THC),For Action,,Recall of a batch of Calm Releaf CBD Oil due to the presence of unsafe levels of,,Calm Releaf CBD Oil; pack size: 10 ml,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-calm-releaf-cbd-oil
2023.37,2023-12-12,Recall of a batch of Carrolls of Tullamore Crumbed Ham due to incorrect use-by date,For Action,Ireland,Recall of a batch of Carrolls of Tullamore Crumbed Ham due to incorrect use-by d,,Carroll's of Tullamore Crumbed Ham Big Family Pack; pack size: 245 g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-carroll-s-of-tullamore-crumbe
2025.23,2025-05-30,Recall of a batch of Centra Hot Smoked BBQ Salmon due to missing cooking instructions on the label,For Action,Ireland,Recall of a batch of Centra Hot Smoked BBQ Salmon due to missing cooking instruc,,Centra Hot Smoked BBQ Salmon; pack size: 200g; approval number: IE-DN 0012-EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-centra-hot-smoked-bbq-sal-(1)
2022.22,2022-03-31,Recall of a Batch of Centra Hot Smoked BBQ Salmon That Incorrectly Contains Raw Salmon Darnes Which Require Cooking,,Norway,Recall of a Batch of Centra Hot Smoked BBQ Salmon That Incorrectly Contains Raw ,,Centra Hot Smoked BBQ Salmon; pack size: 200g; approval number: IE-DN0012-EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-centra-hot-smoked-bbq-salmon
2025.54,2025-10-02,Recall of a batch of Ardagh Lighter Grated Mild Red and Mozzarella cheese due to possible presence of Listeria monocytogenes,For Action,Ireland,Listeria monocytogenes,1099,Ardagh Lighter Grated Mild Red & Mozzarella cheese; pack size: 200 g; approval number:  IE 1099 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-cheese-due-to-possible-presen
2024.61,2024-12-14,Recall of a batch of Chrissy’s Cookies & Cream Cheesecake due to the possible presence of Listeria monocytogenes,For Action,,Nature Of Danger:,,Chrissy’s Cookies & Cream Cheesecake,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-chrissy-s-cookies-cream-chees
2026.15,2026-04-17,Recall of specific batches of Crowes Farm Black & White Pudding Roulade due to incorrect use-by dates,For Action,Ireland,Recall of specific batches of Crowes Farm Black & White Pudding Roulade due to i,,Crowe's Farm Black & White Pudding Roulade; pack size: 360g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-crowes-farm-black-and-white-p
2022.20,2022-03-14,Recall of a Batch of Culinea Paella due to Cooking Instructions Not being Labelled in English,,Belgium,Recall of a Batch of Culinea Paella due to Cooking Instructions Not being Labell,,Culinea Paella; frozen; pack size: 750g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-culinea-paella
